"gene","cluster_id","baseMean","logFC","lfcSE","stat","p_val","p_adj.loc","p_adj.glb","contrast","comparison_type","method"
"Igf2r","T_cells",219,-0.173,0.233,-0.741,0.459,0.67,0.735,"WB","Compartment","muscat_DESeq2"
"Airn","T_cells",560,-1.1,0.19,-5.78,0.00000000754,0.00000074,0.000000897,"WB","Compartment","muscat_DESeq2"
"Mrpl18","T_cells",166,0.244,0.23,1.06,0.29,0.511,0.592,"WB","Compartment","muscat_DESeq2"
"Tcp1","T_cells",428,0.569,0.17,3.35,0.000797,0.00836,0.0121,"WB","Compartment","muscat_DESeq2"
"Acat2","T_cells",43,0.0505,0.367,0.138,0.891,0.951,0.963,"WB","Compartment","muscat_DESeq2"
"Wtap","T_cells",161,-0.176,0.233,-0.753,0.452,0.663,0.729,"WB","Compartment","muscat_DESeq2"
"Sod2","T_cells",149,0.279,0.218,1.28,0.201,0.408,0.493,"WB","Compartment","muscat_DESeq2"
"Afdn","T_cells",24.4,-1.09,0.533,-2.05,0.0402,0.144,0.195,"WB","Compartment","muscat_DESeq2"
"1600012H06Rik","T_cells",24,-0.35,0.442,-0.792,0.428,0.643,0.712,"WB","Compartment","muscat_DESeq2"
"Phf10","T_cells",49.6,0.137,0.363,0.376,0.707,0.846,0.881,"WB","Compartment","muscat_DESeq2"
"Dynlt2a2","T_cells",13.1,0.149,0.689,0.216,0.829,0.918,0.937,"WB","Compartment","muscat_DESeq2"
"Ermard","T_cells",44.8,-0.94,0.388,-2.42,0.0155,0.0737,0.104,"WB","Compartment","muscat_DESeq2"
"Fam120b","T_cells",226,0.0461,0.199,0.231,0.817,0.912,0.932,"WB","Compartment","muscat_DESeq2"
"Psmb1","T_cells",546,0.743,0.2,3.72,0.0002,0.00297,0.00417,"WB","Compartment","muscat_DESeq2"
"Tbp","T_cells",69.5,-0.0197,0.283,-0.0695,0.945,0.975,0.981,"WB","Compartment","muscat_DESeq2"
"Pdcd2","T_cells",119,0.326,0.307,1.06,0.287,0.508,0.589,"WB","Compartment","muscat_DESeq2"
"Prdm9","T_cells",18.7,-0.122,0.562,-0.217,0.829,0.918,0.937,"WB","Compartment","muscat_DESeq2"
"Chd1","T_cells",501,0.6,0.187,3.22,0.0013,0.0119,0.0174,"WB","Compartment","muscat_DESeq2"
"Rgmb","T_cells",27,-0.235,0.615,-0.382,0.702,0.843,0.879,"WB","Compartment","muscat_DESeq2"
"BC002059","T_cells",63.9,-0.468,0.285,-1.64,0.101,0.263,0.335,"WB","Compartment","muscat_DESeq2"
"Gm51425","T_cells",65.9,-1.45,0.331,-4.39,0.0000115,0.000318,0.000425,"WB","Compartment","muscat_DESeq2"
"Zfp97","T_cells",39.5,-0.491,0.416,-1.18,0.238,0.453,0.536,"WB","Compartment","muscat_DESeq2"
"Gm5165","T_cells",52.6,-0.893,0.345,-2.59,0.00958,0.0523,0.0746,"WB","Compartment","muscat_DESeq2"
"Gm6712","T_cells",51.6,-0.809,0.356,-2.27,0.0231,0.0984,0.136,"WB","Compartment","muscat_DESeq2"
"Gm53028","T_cells",22.2,0.336,0.488,0.689,0.491,0.693,0.755,"WB","Compartment","muscat_DESeq2"
"Riok2","T_cells",83.1,0.214,0.301,0.712,0.476,0.684,0.747,"WB","Compartment","muscat_DESeq2"
"Lnpep","T_cells",953,0.0739,0.151,0.491,0.624,0.79,0.837,"WB","Compartment","muscat_DESeq2"
"Fpr1","T_cells",22.2,-6.1,1.27,-4.8,0.0000016,0.0000704,0.0000881,"WB","Compartment","muscat_DESeq2"
"Vmn2r96","T_cells",34.1,-0.536,0.522,-1.03,0.304,0.528,0.607,"WB","Compartment","muscat_DESeq2"
"Vmn2r97","T_cells",19.8,0.594,0.704,0.844,0.399,0.618,0.69,"WB","Compartment","muscat_DESeq2"
"Ppp2r1a","T_cells",211,0.571,0.214,2.67,0.0076,0.044,0.0635,"WB","Compartment","muscat_DESeq2"
"Zfp160","T_cells",39.8,-0.328,0.377,-0.87,0.384,0.605,0.679,"WB","Compartment","muscat_DESeq2"
"Zfp677","T_cells",31.7,-0.531,0.399,-1.33,0.184,0.387,0.471,"WB","Compartment","muscat_DESeq2"
"Zfp51","T_cells",58.4,0.306,0.38,0.805,0.421,0.635,0.705,"WB","Compartment","muscat_DESeq2"
"Gm56906","T_cells",461,1.17,0.453,2.59,0.00961,0.0524,0.0747,"WB","Compartment","muscat_DESeq2"
"Zfp53","T_cells",215,0.296,0.399,0.743,0.458,0.669,0.733,"WB","Compartment","muscat_DESeq2"
"Zfp52","T_cells",71.9,-0.403,0.285,-1.42,0.157,0.35,0.433,"WB","Compartment","muscat_DESeq2"
"Zfp948","T_cells",14.8,-1.26,0.688,-1.83,0.067,0.202,0.263,"WB","Compartment","muscat_DESeq2"
"Zfp983","T_cells",43.3,-0.161,0.437,-0.369,0.712,0.849,0.884,"WB","Compartment","muscat_DESeq2"
"Gm10509","T_cells",30.1,0.561,0.46,1.22,0.223,0.435,0.518,"WB","Compartment","muscat_DESeq2"
"Zfp760","T_cells",14.2,-0.765,0.608,-1.26,0.208,0.417,0.501,"WB","Compartment","muscat_DESeq2"
"Zfp995","T_cells",31.3,-0.112,0.417,-0.268,0.788,0.894,0.919,"WB","Compartment","muscat_DESeq2"
"Zfp942","T_cells",127,-0.0814,0.269,-0.303,0.762,0.881,0.908,"WB","Compartment","muscat_DESeq2"
"Zfp943","T_cells",76.4,-0.425,0.291,-1.46,0.144,0.332,0.413,"WB","Compartment","muscat_DESeq2"
"Zfp994","T_cells",46,-0.301,0.357,-0.844,0.399,0.618,0.69,"WB","Compartment","muscat_DESeq2"
"Gm7072","T_cells",56.8,-0.0638,0.3,-0.213,0.832,0.92,0.938,"WB","Compartment","muscat_DESeq2"
"Zfp944","T_cells",53,-0.114,0.325,-0.349,0.727,0.859,0.891,"WB","Compartment","muscat_DESeq2"
"Zfp758","T_cells",37.4,0.348,0.395,0.882,0.378,0.6,0.674,"WB","Compartment","muscat_DESeq2"
"Zfp946","T_cells",11.6,-0.133,0.661,-0.201,0.841,0.925,0.943,"WB","Compartment","muscat_DESeq2"
"Gm56890","T_cells",10.6,0.881,0.952,0.925,0.355,0.578,0.655,"WB","Compartment","muscat_DESeq2"
"Zfp945","T_cells",92.6,-0.23,0.29,-0.794,0.427,0.642,0.71,"WB","Compartment","muscat_DESeq2"
"Zfp40","T_cells",20.8,-0.764,0.48,-1.59,0.111,0.28,0.355,"WB","Compartment","muscat_DESeq2"
"Zfp213","T_cells",23.4,0.485,0.487,0.997,0.319,0.543,0.621,"WB","Compartment","muscat_DESeq2"
"Mmp25","T_cells",20.3,-2.43,0.724,-3.35,0.0008,0.00837,0.0121,"WB","Compartment","muscat_DESeq2"
"Thoc6","T_cells",34.7,0.539,0.388,1.39,0.164,0.36,0.443,"WB","Compartment","muscat_DESeq2"
"Hcfc1r1","T_cells",79.8,0.935,0.344,2.72,0.00652,0.0393,0.0569,"WB","Compartment","muscat_DESeq2"
"Tnfrsf12a","T_cells",23.8,1.84,0.632,2.91,0.00358,0.0254,0.0371,"WB","Compartment","muscat_DESeq2"
"Pkmyt1","T_cells",37.4,0.67,0.384,1.74,0.0812,0.229,0.297,"WB","Compartment","muscat_DESeq2"
"Kremen2","T_cells",13.2,-1.26,0.756,-1.66,0.0963,0.255,0.327,"WB","Compartment","muscat_DESeq2"
"Flywch1","T_cells",39.9,0.105,0.449,0.233,0.816,0.911,0.931,"WB","Compartment","muscat_DESeq2"
"Srrm2","T_cells",2180,0.306,0.169,1.81,0.0697,0.206,0.27,"WB","Compartment","muscat_DESeq2"
"Elob","T_cells",315,0.939,0.362,2.59,0.00946,0.0518,0.0739,"WB","Compartment","muscat_DESeq2"
"Kctd5","T_cells",47.9,0.0797,0.406,0.196,0.844,0.927,0.945,"WB","Compartment","muscat_DESeq2"
"Pdpk1","T_cells",300,-0.262,0.188,-1.39,0.163,0.359,0.442,"WB","Compartment","muscat_DESeq2"
"Amdhd2","T_cells",25.3,0.108,0.437,0.247,0.805,0.906,0.927,"WB","Compartment","muscat_DESeq2"
"Atp6v0c","T_cells",337,0.879,0.23,3.82,0.000131,0.00217,0.00301,"WB","Compartment","muscat_DESeq2"
"Tedc2","T_cells",16.6,-0.776,0.666,-1.16,0.244,0.46,0.543,"WB","Compartment","muscat_DESeq2"
"Abca3","T_cells",119,-0.497,0.249,-2,0.0455,0.156,0.209,"WB","Compartment","muscat_DESeq2"
"D330041H03Rik","T_cells",43,-0.153,0.427,-0.359,0.72,0.855,0.888,"WB","Compartment","muscat_DESeq2"
"Rnps1","T_cells",265,0.663,0.206,3.22,0.00126,0.0117,0.017,"WB","Compartment","muscat_DESeq2"
"Eci1","T_cells",73.9,0.288,0.321,0.896,0.37,0.593,0.668,"WB","Compartment","muscat_DESeq2"
"Dnase1l2","T_cells",9.23,-1.56,0.801,-1.95,0.0514,0.169,0.225,"WB","Compartment","muscat_DESeq2"
"E4f1","T_cells",99.7,0.21,0.266,0.79,0.429,0.644,0.712,"WB","Compartment","muscat_DESeq2"
"Pgp","T_cells",77.5,-0.323,0.263,-1.23,0.218,0.429,0.512,"WB","Compartment","muscat_DESeq2"
"Mlst8","T_cells",23.5,-0.075,0.451,-0.166,0.868,0.939,0.954,"WB","Compartment","muscat_DESeq2"
"Traf7","T_cells",129,-0.0219,0.241,-0.0907,0.928,0.968,0.975,"WB","Compartment","muscat_DESeq2"
"Pkd1","T_cells",133,-0.372,0.301,-1.24,0.216,0.427,0.51,"WB","Compartment","muscat_DESeq2"
"Tsc2","T_cells",44.5,0.0288,0.338,0.0854,0.932,0.97,0.977,"WB","Compartment","muscat_DESeq2"
"Zfp598","T_cells",61.7,-0.311,0.425,-0.732,0.464,0.674,0.739,"WB","Compartment","muscat_DESeq2"
"Gfer","T_cells",39.9,0.455,0.379,1.2,0.23,0.442,0.526,"WB","Compartment","muscat_DESeq2"
"Tbl3","T_cells",56.5,0.697,0.371,1.88,0.06,0.187,0.247,"WB","Compartment","muscat_DESeq2"
"Rps2","T_cells",6500,0.963,0.263,3.66,0.000256,0.00354,0.00504,"WB","Compartment","muscat_DESeq2"
"Snhg9","T_cells",9.71,0.405,0.84,0.483,0.629,0.794,0.841,"WB","Compartment","muscat_DESeq2"
"Ndufb10","T_cells",276,0.558,0.246,2.26,0.0236,0.1,0.138,"WB","Compartment","muscat_DESeq2"
"Msrb1","T_cells",113,-0.717,0.44,-1.63,0.104,0.268,0.341,"WB","Compartment","muscat_DESeq2"
"Hagh","T_cells",65.9,0.361,0.299,1.21,0.227,0.439,0.523,"WB","Compartment","muscat_DESeq2"
"Fahd1","T_cells",8.43,-1.32,0.721,-1.83,0.0679,0.203,0.265,"WB","Compartment","muscat_DESeq2"
"Nubp2","T_cells",67.2,0.187,0.307,0.61,0.542,0.73,0.787,"WB","Compartment","muscat_DESeq2"
"Spsb3","T_cells",69.9,-0.0748,0.322,-0.232,0.817,0.912,0.931,"WB","Compartment","muscat_DESeq2"
"Eme2","T_cells",22.2,-0.622,0.503,-1.24,0.216,0.426,0.509,"WB","Compartment","muscat_DESeq2"
"Mapk8ip3","T_cells",214,-0.0691,0.242,-0.286,0.775,0.888,0.914,"WB","Compartment","muscat_DESeq2"
"Mrps34","T_cells",106,0.399,0.322,1.24,0.216,0.426,0.509,"WB","Compartment","muscat_DESeq2"
"Nme3","T_cells",43.5,0.317,0.39,0.813,0.416,0.632,0.702,"WB","Compartment","muscat_DESeq2"
"Jpt2","T_cells",25.6,-0.0082,0.49,-0.0167,0.987,0.995,0.996,"WB","Compartment","muscat_DESeq2"
"Cramp1","T_cells",153,-0.366,0.219,-1.67,0.0945,0.252,0.323,"WB","Compartment","muscat_DESeq2"
"Ift140","T_cells",67.2,-0.348,0.328,-1.06,0.289,0.51,0.591,"WB","Compartment","muscat_DESeq2"
"Telo2","T_cells",33.8,-0.529,0.401,-1.32,0.187,0.391,0.475,"WB","Compartment","muscat_DESeq2"
"Clcn7","T_cells",54.3,-0.634,0.331,-1.92,0.0553,0.177,0.235,"WB","Compartment","muscat_DESeq2"
"Uqcc4","T_cells",92.3,0.201,0.276,0.73,0.466,0.675,0.74,"WB","Compartment","muscat_DESeq2"
"Unkl","T_cells",145,-0.111,0.228,-0.487,0.626,0.792,0.838,"WB","Compartment","muscat_DESeq2"
"Gnptg","T_cells",102,0.722,0.257,2.8,0.00503,0.0323,0.0472,"WB","Compartment","muscat_DESeq2"
"Tsr3","T_cells",57.3,0.0502,0.32,0.157,0.875,0.943,0.957,"WB","Compartment","muscat_DESeq2"
"Baiap3","T_cells",35.6,0.258,0.483,0.535,0.593,0.768,0.819,"WB","Compartment","muscat_DESeq2"
"Ube2i","T_cells",493,0.621,0.217,2.87,0.00416,0.0283,0.0413,"WB","Compartment","muscat_DESeq2"
"Lmf1","T_cells",69.6,-0.435,0.35,-1.24,0.214,0.424,0.507,"WB","Compartment","muscat_DESeq2"
"Rpusd1","T_cells",11.7,-0.381,0.627,-0.608,0.543,0.731,0.788,"WB","Compartment","muscat_DESeq2"
"Ciao3","T_cells",23.8,0.204,0.502,0.406,0.685,0.832,0.87,"WB","Compartment","muscat_DESeq2"
"Haghl","T_cells",30.9,-0.0689,0.448,-0.154,0.878,0.944,0.958,"WB","Compartment","muscat_DESeq2"
"Antkmt","T_cells",186,-0.000562,0.235,-0.0024,0.998,0.999,1,"WB","Compartment","muscat_DESeq2"
"Metrn","T_cells",36.1,-0.298,0.436,-0.682,0.495,0.696,0.757,"WB","Compartment","muscat_DESeq2"
"Wdr24","T_cells",35.4,0.0309,0.375,0.0824,0.934,0.971,0.978,"WB","Compartment","muscat_DESeq2"
"Jmjd8","T_cells",21,1.04,0.499,2.08,0.0375,0.138,0.187,"WB","Compartment","muscat_DESeq2"
"Stub1","T_cells",162,-0.31,0.242,-1.28,0.2,0.407,0.492,"WB","Compartment","muscat_DESeq2"
"Rhbdl1","T_cells",8.81,-0.455,0.764,-0.596,0.551,0.736,0.791,"WB","Compartment","muscat_DESeq2"
"Rhot2","T_cells",74.9,-0.211,0.311,-0.677,0.499,0.698,0.759,"WB","Compartment","muscat_DESeq2"
"Wdr90","T_cells",19.8,-0.887,0.568,-1.56,0.118,0.292,0.369,"WB","Compartment","muscat_DESeq2"
"Mettl26","T_cells",112,-0.117,0.267,-0.44,0.66,0.815,0.857,"WB","Compartment","muscat_DESeq2"
"Rab40c","T_cells",85.1,-1.12,0.263,-4.25,0.000021,0.000516,0.00069,"WB","Compartment","muscat_DESeq2"
"Pigq","T_cells",56.8,0.086,0.305,0.282,0.778,0.889,0.915,"WB","Compartment","muscat_DESeq2"
"Capn15","T_cells",77,-0.165,0.285,-0.578,0.564,0.746,0.8,"WB","Compartment","muscat_DESeq2"
"Rab11fip3","T_cells",45.3,-0.668,0.326,-2.05,0.0406,0.145,0.196,"WB","Compartment","muscat_DESeq2"
"Decr2","T_cells",24.4,-0.197,0.513,-0.384,0.701,0.842,0.878,"WB","Compartment","muscat_DESeq2"
"Nme4","T_cells",28.1,0.329,0.488,0.673,0.501,0.7,0.76,"WB","Compartment","muscat_DESeq2"
"Pgap6","T_cells",32.5,-0.493,0.463,-1.06,0.287,0.508,0.589,"WB","Compartment","muscat_DESeq2"
"Mrpl28","T_cells",70.7,0.329,0.337,0.974,0.33,0.553,0.631,"WB","Compartment","muscat_DESeq2"
"Axin1","T_cells",205,-0.215,0.266,-0.807,0.42,0.635,0.704,"WB","Compartment","muscat_DESeq2"
"Rgs11","T_cells",23.5,0.474,0.47,1.01,0.313,0.537,0.616,"WB","Compartment","muscat_DESeq2"
"Fam234a","T_cells",53.1,-0.221,0.345,-0.642,0.521,0.715,0.774,"WB","Compartment","muscat_DESeq2"
"Luc7l","T_cells",282,0.382,0.195,1.96,0.0495,0.164,0.219,"WB","Compartment","muscat_DESeq2"
"Gm34455","T_cells",12.8,-3.69,0.746,-4.94,0.000000778,0.0000392,0.0000482,"WB","Compartment","muscat_DESeq2"
"Dusp1","T_cells",336,-0.333,0.289,-1.15,0.249,0.465,0.549,"WB","Compartment","muscat_DESeq2"
"Gm56886","T_cells",11.8,0.386,0.636,0.607,0.544,0.731,0.788,"WB","Compartment","muscat_DESeq2"
"Ergic1","T_cells",90.7,-0.633,0.368,-1.72,0.0857,0.237,0.306,"WB","Compartment","muscat_DESeq2"
"Atp6v0e","T_cells",326,0.547,0.205,2.67,0.00755,0.0439,0.0634,"WB","Compartment","muscat_DESeq2"
"Crebrf","T_cells",453,0.577,0.261,2.21,0.0273,0.111,0.152,"WB","Compartment","muscat_DESeq2"
"Bnip1","T_cells",31.6,-0.301,0.426,-0.708,0.479,0.685,0.748,"WB","Compartment","muscat_DESeq2"
"Phf1","T_cells",120,0.239,0.306,0.781,0.435,0.648,0.716,"WB","Compartment","muscat_DESeq2"
"Cuta","T_cells",186,0.384,0.266,1.44,0.149,0.34,0.421,"WB","Compartment","muscat_DESeq2"
"Zbtb9","T_cells",54.9,-0.654,0.332,-1.97,0.0489,0.163,0.218,"WB","Compartment","muscat_DESeq2"
"Bak1","T_cells",45.7,0.304,0.353,0.86,0.39,0.61,0.684,"WB","Compartment","muscat_DESeq2"
"Itpr3","T_cells",277,-0.301,0.2,-1.5,0.133,0.314,0.393,"WB","Compartment","muscat_DESeq2"
"Uqcc2","T_cells",85.3,0.392,0.352,1.11,0.265,0.484,0.566,"WB","Compartment","muscat_DESeq2"
"Lemd2","T_cells",85.2,-0.48,0.448,-1.07,0.285,0.506,0.587,"WB","Compartment","muscat_DESeq2"
"Hmga1","T_cells",105,0.548,0.29,1.89,0.0588,0.185,0.244,"WB","Compartment","muscat_DESeq2"
"Smim29","T_cells",134,0.414,0.303,1.36,0.172,0.372,0.455,"WB","Compartment","muscat_DESeq2"
"Nudt3","T_cells",143,0.0512,0.251,0.204,0.839,0.923,0.942,"WB","Compartment","muscat_DESeq2"
"Rps10","T_cells",7240,1.04,0.32,3.26,0.00109,0.0105,0.0153,"WB","Compartment","muscat_DESeq2"
"Pacsin1","T_cells",115,-0.243,0.313,-0.775,0.438,0.651,0.718,"WB","Compartment","muscat_DESeq2"
"Ilrun","T_cells",190,-0.321,0.293,-1.09,0.274,0.494,0.576,"WB","Compartment","muscat_DESeq2"
"Snrpc","T_cells",161,0.948,0.266,3.57,0.000359,0.00458,0.00657,"WB","Compartment","muscat_DESeq2"
"Taf11","T_cells",53,0.283,0.321,0.88,0.379,0.601,0.675,"WB","Compartment","muscat_DESeq2"
"Anks1","T_cells",161,-0.862,0.327,-2.63,0.00851,0.0478,0.0685,"WB","Compartment","muscat_DESeq2"
"Zfp523","T_cells",28.6,-1.43,0.453,-3.15,0.00165,0.0141,0.0206,"WB","Compartment","muscat_DESeq2"
"Def6","T_cells",331,0.195,0.194,1.01,0.315,0.539,0.618,"WB","Compartment","muscat_DESeq2"
"Ppard","T_cells",80,-0.499,0.334,-1.5,0.135,0.316,0.396,"WB","Compartment","muscat_DESeq2"
"Fance","T_cells",42.1,-0.0782,0.345,-0.226,0.821,0.914,0.933,"WB","Compartment","muscat_DESeq2"
"Rpl10a","T_cells",4500,0.997,0.286,3.49,0.000489,0.00583,0.00832,"WB","Compartment","muscat_DESeq2"
"Fkbp5","T_cells",290,-1.84,0.317,-5.8,0.00000000651,0.000000669,0.000000796,"WB","Compartment","muscat_DESeq2"
"E230001N04Rik","T_cells",34.5,-0.978,0.454,-2.15,0.0313,0.121,0.166,"WB","Compartment","muscat_DESeq2"
"Srpk1","T_cells",525,0.564,0.269,2.1,0.0359,0.134,0.182,"WB","Compartment","muscat_DESeq2"
"Mapk14","T_cells",360,-0.144,0.205,-0.701,0.484,0.688,0.75,"WB","Compartment","muscat_DESeq2"
"Brpf3","T_cells",53.2,-0.48,0.373,-1.29,0.198,0.406,0.489,"WB","Compartment","muscat_DESeq2"
"Kctd20","T_cells",100,-0.0366,0.29,-0.126,0.899,0.954,0.965,"WB","Compartment","muscat_DESeq2"
"Stk38","T_cells",746,-0.0384,0.247,-0.155,0.877,0.944,0.958,"WB","Compartment","muscat_DESeq2"
"Gm16196","T_cells",10.7,0.168,0.728,0.231,0.817,0.912,0.932,"WB","Compartment","muscat_DESeq2"
"Srsf3","T_cells",570,0.367,0.183,2,0.0451,0.155,0.208,"WB","Compartment","muscat_DESeq2"
"Cdkn1a","T_cells",19,0.342,1.1,0.311,0.755,0.877,0.905,"WB","Compartment","muscat_DESeq2"
"Rab44","T_cells",19,-3.24,0.77,-4.21,0.0000255,0.000597,0.000806,"WB","Compartment","muscat_DESeq2"
"Ppil1","T_cells",52.4,-0.235,0.353,-0.667,0.505,0.703,0.763,"WB","Compartment","muscat_DESeq2"
"BC004004","T_cells",105,-0.362,0.398,-0.91,0.363,0.585,0.662,"WB","Compartment","muscat_DESeq2"
"Pi16","T_cells",12.8,-2.53,1.09,-2.33,0.0197,0.0872,0.122,"WB","Compartment","muscat_DESeq2"
"Mtch1","T_cells",107,-0.893,0.388,-2.3,0.0214,0.0928,0.129,"WB","Compartment","muscat_DESeq2"
"Pim1","T_cells",427,0.197,0.313,0.629,0.53,0.721,0.78,"WB","Compartment","muscat_DESeq2"
"Tbc1d22b","T_cells",204,-0.44,0.247,-1.78,0.0743,0.216,0.281,"WB","Compartment","muscat_DESeq2"
"Rnf8","T_cells",100,-0.346,0.287,-1.21,0.228,0.441,0.524,"WB","Compartment","muscat_DESeq2"
"Cmtr1","T_cells",169,-0.0196,0.242,-0.081,0.935,0.971,0.979,"WB","Compartment","muscat_DESeq2"
"Ccdc167","T_cells",30.1,-0.232,0.425,-0.546,0.585,0.762,0.813,"WB","Compartment","muscat_DESeq2"
"Zfand3","T_cells",543,-0.619,0.244,-2.54,0.0111,0.0579,0.0824,"WB","Compartment","muscat_DESeq2"
"Btbd9","T_cells",604,-0.441,0.198,-2.23,0.026,0.107,0.147,"WB","Compartment","muscat_DESeq2"
"Gm50240","T_cells",42.5,1.34,0.446,3,0.00273,0.0207,0.0303,"WB","Compartment","muscat_DESeq2"
"Glo1","T_cells",122,0.403,0.25,1.62,0.106,0.272,0.345,"WB","Compartment","muscat_DESeq2"
"1700097N02Rik","T_cells",17.1,1.11,0.653,1.7,0.0886,0.242,0.312,"WB","Compartment","muscat_DESeq2"
"Dnah8","T_cells",358,-0.126,0.218,-0.577,0.564,0.747,0.8,"WB","Compartment","muscat_DESeq2"
"Abcg1","T_cells",197,-0.475,0.243,-1.96,0.0501,0.165,0.221,"WB","Compartment","muscat_DESeq2"
"Ubash3a","T_cells",281,-0.3,0.207,-1.45,0.147,0.336,0.417,"WB","Compartment","muscat_DESeq2"
"Gm50218","T_cells",43.2,1.27,0.455,2.79,0.00527,0.0334,0.0488,"WB","Compartment","muscat_DESeq2"
"Slc37a1","T_cells",110,-0.196,0.249,-0.789,0.43,0.644,0.712,"WB","Compartment","muscat_DESeq2"
"Wdr4","T_cells",53.4,-0.0614,0.35,-0.175,0.861,0.936,0.951,"WB","Compartment","muscat_DESeq2"
"Ndufv3","T_cells",144,0.873,0.365,2.39,0.0169,0.0784,0.11,"WB","Compartment","muscat_DESeq2"
"Pknox1","T_cells",147,0.00314,0.262,0.012,0.99,0.996,0.997,"WB","Compartment","muscat_DESeq2"
"U2af1","T_cells",296,0.533,0.196,2.72,0.00648,0.0392,0.0568,"WB","Compartment","muscat_DESeq2"
"Sik1","T_cells",197,0.069,0.235,0.293,0.769,0.884,0.912,"WB","Compartment","muscat_DESeq2"
"Rrp1b","T_cells",104,-0.0465,0.262,-0.177,0.859,0.935,0.951,"WB","Compartment","muscat_DESeq2"
"Brd4","T_cells",732,0.0865,0.227,0.381,0.703,0.844,0.88,"WB","Compartment","muscat_DESeq2"
"Gm26549","T_cells",12.8,0.523,0.674,0.776,0.438,0.65,0.718,"WB","Compartment","muscat_DESeq2"
"Akap8","T_cells",352,0.348,0.198,1.76,0.0785,0.223,0.29,"WB","Compartment","muscat_DESeq2"
"Akap8l","T_cells",303,0.127,0.249,0.51,0.61,0.78,0.829,"WB","Compartment","muscat_DESeq2"
"Wiz","T_cells",58.3,-0.576,0.392,-1.47,0.141,0.326,0.407,"WB","Compartment","muscat_DESeq2"
"Rasal3","T_cells",536,0.0802,0.21,0.382,0.703,0.843,0.879,"WB","Compartment","muscat_DESeq2"
"A530088E08Rik","T_cells",38.9,-0.536,0.405,-1.32,0.187,0.391,0.474,"WB","Compartment","muscat_DESeq2"
"Pglyrp2","T_cells",131,-0.0199,0.263,-0.0758,0.94,0.973,0.98,"WB","Compartment","muscat_DESeq2"
"Cyp4f17","T_cells",14.4,-0.0687,0.659,-0.104,0.917,0.963,0.972,"WB","Compartment","muscat_DESeq2"
"Cyp4f16","T_cells",23.3,-0.823,0.717,-1.15,0.251,0.467,0.551,"WB","Compartment","muscat_DESeq2"
"Zfp871","T_cells",291,0.16,0.201,0.795,0.427,0.642,0.71,"WB","Compartment","muscat_DESeq2"
"Zfp799","T_cells",33.2,-0.522,0.387,-1.35,0.177,0.379,0.462,"WB","Compartment","muscat_DESeq2"
"Cyp4f13","T_cells",72.5,-0.336,0.34,-0.987,0.323,0.547,0.625,"WB","Compartment","muscat_DESeq2"
"Zfp472","T_cells",49.1,-0.184,0.381,-0.484,0.628,0.794,0.84,"WB","Compartment","muscat_DESeq2"
"Zfp952","T_cells",42.1,-0.342,0.391,-0.874,0.382,0.603,0.677,"WB","Compartment","muscat_DESeq2"
"Zfp763","T_cells",24.9,-1.95,0.477,-4.09,0.0000438,0.000915,0.00125,"WB","Compartment","muscat_DESeq2"
"Zfp563","T_cells",15.8,-0.511,0.554,-0.923,0.356,0.579,0.656,"WB","Compartment","muscat_DESeq2"
"Zfp955a","T_cells",29,0.0266,0.529,0.0503,0.96,0.982,0.986,"WB","Compartment","muscat_DESeq2"
"Zfp955b","T_cells",49.7,-0.609,0.374,-1.63,0.104,0.268,0.342,"WB","Compartment","muscat_DESeq2"
"Zfp81","T_cells",29.7,0.239,0.603,0.395,0.693,0.837,0.874,"WB","Compartment","muscat_DESeq2"
"Zfp101","T_cells",26.5,-0.0342,0.5,-0.0684,0.945,0.976,0.982,"WB","Compartment","muscat_DESeq2"
"Adamts10","T_cells",252,-0.636,0.188,-3.39,0.00071,0.00763,0.011,"WB","Compartment","muscat_DESeq2"
"Myo1f","T_cells",423,-1.51,0.417,-3.62,0.000299,0.00399,0.00571,"WB","Compartment","muscat_DESeq2"
"Zfp414","T_cells",53.8,0.144,0.334,0.431,0.666,0.818,0.86,"WB","Compartment","muscat_DESeq2"
"Pram1","T_cells",27.9,-4.1,0.687,-5.97,0.00000000241,0.000000277,0.000000326,"WB","Compartment","muscat_DESeq2"
"Hnrnpm","T_cells",691,0.363,0.178,2.04,0.0409,0.146,0.197,"WB","Compartment","muscat_DESeq2"
"Marchf2","T_cells",144,0.463,0.274,1.69,0.0911,0.246,0.316,"WB","Compartment","muscat_DESeq2"
"Rab11b","T_cells",332,0.548,0.206,2.66,0.00787,0.0452,0.0651,"WB","Compartment","muscat_DESeq2"
"Gm17251","T_cells",24.9,0.769,0.572,1.34,0.179,0.381,0.465,"WB","Compartment","muscat_DESeq2"
"Kank3","T_cells",7.08,-1.27,0.912,-1.39,0.164,0.36,0.442,"WB","Compartment","muscat_DESeq2"
"Rps28","T_cells",965,1.89,0.467,4.05,0.0000511,0.00104,0.00141,"WB","Compartment","muscat_DESeq2"
"Ndufa7","T_cells",243,0.876,0.341,2.57,0.0102,0.0545,0.0777,"WB","Compartment","muscat_DESeq2"
"Cd320","T_cells",29.2,0.562,0.489,1.15,0.25,0.466,0.55,"WB","Compartment","muscat_DESeq2"
"Kifc1","T_cells",14.9,-1.35,0.698,-1.94,0.0525,0.171,0.228,"WB","Compartment","muscat_DESeq2"
