"gene","cluster_id","baseMean","logFC","lfcSE","stat","p_val","p_adj.loc","p_adj.glb","contrast","comparison_type","method"
"Gm4956","NK_cells",112,1.25,0.234,5.32,0.000000102,0.00000628,0.00000841,"WB","Compartment","muscat_DESeq2"
"Khdc1a","NK_cells",31.6,0.978,0.407,2.4,0.0162,0.114,0.107,"WB","Compartment","muscat_DESeq2"
"Kcnq5","NK_cells",387,-0.366,0.288,-1.27,0.203,0.51,0.495,"WB","Compartment","muscat_DESeq2"
"Ogfrl1","NK_cells",12.8,-2.49,0.603,-4.14,0.0000353,0.000885,0.00105,"WB","Compartment","muscat_DESeq2"
"Smap1","NK_cells",69.7,-0.0808,0.396,-0.204,0.838,0.942,0.942,"WB","Compartment","muscat_DESeq2"
"Sdhaf4","NK_cells",14.7,-0.0875,0.528,-0.166,0.868,0.953,0.954,"WB","Compartment","muscat_DESeq2"
"Lmbrd1","NK_cells",50.7,0.675,0.305,2.22,0.0267,0.158,0.15,"WB","Compartment","muscat_DESeq2"
"Phf3","NK_cells",126,-0.0266,0.236,-0.112,0.911,0.968,0.97,"WB","Compartment","muscat_DESeq2"
"Prim2","NK_cells",25.7,-1.09,0.412,-2.65,0.00815,0.0705,0.0665,"WB","Compartment","muscat_DESeq2"
"Zfp451","NK_cells",31.3,-0.00328,0.365,-0.00898,0.993,0.998,0.998,"WB","Compartment","muscat_DESeq2"
"Ccdc115","NK_cells",18.9,0.321,0.468,0.685,0.494,0.767,0.756,"WB","Compartment","muscat_DESeq2"
"Imp4","NK_cells",34.3,0.384,0.346,1.11,0.268,0.587,0.569,"WB","Compartment","muscat_DESeq2"
"Ptpn18","NK_cells",251,0.191,0.255,0.748,0.454,0.74,0.731,"WB","Compartment","muscat_DESeq2"
"Fam168b","NK_cells",50.4,-0.156,0.37,-0.423,0.672,0.869,0.864,"WB","Compartment","muscat_DESeq2"
"Plekhb2","NK_cells",18.8,0.435,0.507,0.857,0.391,0.698,0.685,"WB","Compartment","muscat_DESeq2"
"Uggt1","NK_cells",62.6,0.0183,0.3,0.061,0.951,0.983,0.983,"WB","Compartment","muscat_DESeq2"
"Neurl3","NK_cells",122,0.287,0.25,1.15,0.251,0.569,0.55,"WB","Compartment","muscat_DESeq2"
"Arid5a","NK_cells",36.9,0.28,0.344,0.811,0.417,0.713,0.702,"WB","Compartment","muscat_DESeq2"
"Kansl3","NK_cells",31.6,0.446,0.359,1.24,0.213,0.52,0.506,"WB","Compartment","muscat_DESeq2"
"Sema4c","NK_cells",18.2,1.26,0.495,2.54,0.011,0.0875,0.0821,"WB","Compartment","muscat_DESeq2"
"Cox5b","NK_cells",120,0.665,0.28,2.37,0.0176,0.12,0.113,"WB","Compartment","muscat_DESeq2"
"Actr1b","NK_cells",25.6,0.723,0.399,1.81,0.0698,0.285,0.27,"WB","Compartment","muscat_DESeq2"
"Zap70","NK_cells",79.3,0.0716,0.24,0.299,0.765,0.911,0.91,"WB","Compartment","muscat_DESeq2"
"Tmem131","NK_cells",69.6,-0.761,0.288,-2.64,0.00829,0.071,0.0673,"WB","Compartment","muscat_DESeq2"
"Inpp4a","NK_cells",33.4,-0.298,0.383,-0.777,0.437,0.729,0.718,"WB","Compartment","muscat_DESeq2"
"Coa5","NK_cells",28.1,0.103,0.389,0.265,0.791,0.922,0.921,"WB","Compartment","muscat_DESeq2"
"Unc50","NK_cells",26.5,0.774,0.411,1.88,0.06,0.263,0.247,"WB","Compartment","muscat_DESeq2"
"Mgat4a","NK_cells",37.4,-1.14,0.342,-3.33,0.000867,0.0128,0.0129,"WB","Compartment","muscat_DESeq2"
"Tsga10","NK_cells",19,-0.277,0.485,-0.57,0.568,0.811,0.803,"WB","Compartment","muscat_DESeq2"
"Mitd1","NK_cells",16.6,-0.693,0.49,-1.41,0.157,0.45,0.433,"WB","Compartment","muscat_DESeq2"
"Mrpl30","NK_cells",60.6,0.136,0.271,0.503,0.615,0.84,0.832,"WB","Compartment","muscat_DESeq2"
"Txndc9","NK_cells",37.5,0.00747,0.355,0.021,0.983,0.994,0.996,"WB","Compartment","muscat_DESeq2"
"Eif5b","NK_cells",76.9,0.3,0.268,1.12,0.263,0.583,0.564,"WB","Compartment","muscat_DESeq2"
"Rev1","NK_cells",18.9,-0.801,0.437,-1.83,0.0672,0.277,0.264,"WB","Compartment","muscat_DESeq2"
"Aff3","NK_cells",258,-1.92,0.249,-7.7,0.0000000000000141,0.00000000000324,0.00000000000634,"WB","Compartment","muscat_DESeq2"
"Pdcl3","NK_cells",35.7,0.332,0.348,0.955,0.339,0.657,0.642,"WB","Compartment","muscat_DESeq2"
"Rpl31","NK_cells",216,0.361,0.289,1.25,0.211,0.518,0.504,"WB","Compartment","muscat_DESeq2"
"Cnot11","NK_cells",26.9,0.0984,0.374,0.263,0.793,0.922,0.922,"WB","Compartment","muscat_DESeq2"
"Rnf149","NK_cells",23.6,-1.37,0.399,-3.42,0.000619,0.00984,0.00992,"WB","Compartment","muscat_DESeq2"
"Map4k4","NK_cells",94.5,-0.508,0.303,-1.68,0.0938,0.338,0.321,"WB","Compartment","muscat_DESeq2"
"Il1r2","NK_cells",16.2,-0.66,1.44,-0.459,0.646,0.857,0.85,"WB","Compartment","muscat_DESeq2"
"Il18r1","NK_cells",251,-0.338,0.252,-1.34,0.179,0.483,0.465,"WB","Compartment","muscat_DESeq2"
"Il18rap","NK_cells",341,0.169,0.16,1.06,0.291,0.61,0.593,"WB","Compartment","muscat_DESeq2"
"Mrps9","NK_cells",31.2,-0.218,0.356,-0.613,0.54,0.797,0.786,"WB","Compartment","muscat_DESeq2"
"Fhl2","NK_cells",19.8,1.06,0.465,2.29,0.0221,0.141,0.132,"WB","Compartment","muscat_DESeq2"
"Nck2","NK_cells",33.4,-0.0248,0.376,-0.0661,0.947,0.981,0.982,"WB","Compartment","muscat_DESeq2"
"Uxs1","NK_cells",16.3,-0.578,0.488,-1.18,0.236,0.553,0.534,"WB","Compartment","muscat_DESeq2"
"Tpp2","NK_cells",113,0.375,0.244,1.54,0.125,0.398,0.379,"WB","Compartment","muscat_DESeq2"
"Tex30","NK_cells",14.3,1.04,0.612,1.7,0.0896,0.33,0.314,"WB","Compartment","muscat_DESeq2"
"Wdr75","NK_cells",26.8,-0.211,0.372,-0.567,0.571,0.812,0.804,"WB","Compartment","muscat_DESeq2"
"Slc39a10","NK_cells",16.3,-0.303,0.505,-0.601,0.548,0.8,0.79,"WB","Compartment","muscat_DESeq2"
"Nabp1","NK_cells",138,-0.175,0.238,-0.733,0.463,0.749,0.738,"WB","Compartment","muscat_DESeq2"
"Stat4","NK_cells",377,-0.249,0.167,-1.49,0.136,0.418,0.399,"WB","Compartment","muscat_DESeq2"
"Stat1","NK_cells",135,-0.627,0.272,-2.3,0.0213,0.136,0.128,"WB","Compartment","muscat_DESeq2"
"Gls","NK_cells",108,0.0443,0.316,0.14,0.888,0.962,0.962,"WB","Compartment","muscat_DESeq2"
"Nab1","NK_cells",71.7,0.0907,0.293,0.31,0.757,0.906,0.906,"WB","Compartment","muscat_DESeq2"
"Mfsd6","NK_cells",40.9,-0.869,0.367,-2.37,0.018,0.122,0.114,"WB","Compartment","muscat_DESeq2"
"Inpp1","NK_cells",42.4,0.0378,0.31,0.122,0.903,0.967,0.967,"WB","Compartment","muscat_DESeq2"
"Ormdl1","NK_cells",15.1,0.834,0.567,1.47,0.142,0.428,0.408,"WB","Compartment","muscat_DESeq2"
"Asnsd1","NK_cells",19.6,0.222,0.44,0.504,0.615,0.84,0.832,"WB","Compartment","muscat_DESeq2"
"Stk17b","NK_cells",259,1.01,0.184,5.49,0.0000000403,0.0000028,0.00000378,"WB","Compartment","muscat_DESeq2"
"Ankrd44","NK_cells",471,0.162,0.16,1.01,0.311,0.629,0.615,"WB","Compartment","muscat_DESeq2"
"Sf3b1","NK_cells",316,0.481,0.173,2.78,0.00543,0.0535,0.0499,"WB","Compartment","muscat_DESeq2"
"Coq10b","NK_cells",32.2,1.22,0.389,3.14,0.00168,0.0219,0.0209,"WB","Compartment","muscat_DESeq2"
"Hspd1","NK_cells",136,0.517,0.251,2.06,0.0396,0.207,0.193,"WB","Compartment","muscat_DESeq2"
"Hspe1","NK_cells",128,0.337,0.308,1.1,0.273,0.592,0.574,"WB","Compartment","muscat_DESeq2"
"Mob4","NK_cells",65,0.718,0.272,2.64,0.00829,0.071,0.0673,"WB","Compartment","muscat_DESeq2"
